"taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7","taxonomy8"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","flagrans","OTU_2745"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","NA","OTU_2076"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","NA","OTU_593"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Mycothermus","thermophilus","OTU_1626"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","subcucurbitae","OTU_1160"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Cladorrhinum","NA","OTU_2286"
"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Thermomyces","dupontii","OTU_2651"
"Fungi","Basidiomycota","NA","NA","NA","NA","NA","OTU_855"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Nidulariaceae","Cyathus","stercoreus","OTU_791"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_535"
"Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","OTU_569"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","NA","NA","OTU_1167"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Agrocybe","NA","OTU_2706"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","OTU_1281"
"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","OTU_2882"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","NA","OTU_1009"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_362"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dictyosporiaceae","Dictyosporiaceae_gen_Incertae_sedis","NA","OTU_760"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Clavariaceae","Clavulinopsis","depokensis","OTU_2333"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","NA","NA","OTU_1047"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Dactylella","arnaudii","OTU_502"
"Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","OTU_1093"
"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys","NA","OTU_603"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1332"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cistella","NA","OTU_1498"
"Fungi","Ascomycota","Sordariomycetes","NA","NA","NA","NA","OTU_1030"
"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Chrysosporium","crassitunicatum","OTU_1548"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Parastagonospora","nodorum","OTU_740"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_654"
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","NA","NA","NA","OTU_369"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","OTU_1011"
"Fungi","Kickxellomycota","Ramicandelaberomycetes","Ramicandelaberales","Ramicandelaberaceae","Ramicandelaber","NA","OTU_2349"
"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Waitea","arvalis","OTU_1075"
"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","amoeboidea","OTU_976"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_2657"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_642"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Plenodomus","biglobosus","OTU_742"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis","NA","OTU_1462"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_578"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiobolopsis","italica","OTU_2970"
"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","canina","OTU_1059"
"Fungi","Basidiomycota","Agaricomycetes","Phallales","Phallaceae","NA","NA","OTU_882"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria","junci","OTU_1360"
"Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Lecythophora","NA","OTU_1467"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1475"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","OTU_811"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","NA","NA","NA","OTU_2617"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","hawaiiensis","OTU_2222"
"Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces","NA","OTU_1802"
"Fungi","Basidiomycota","NA","NA","NA","NA","NA","OTU_749"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amniculicolaceae","Murispora","NA","OTU_1156"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","ibericum","OTU_2203"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_1032"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","NA","OTU_1850"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","NA","OTU_914"
"Fungi","Ascomycota","Sordariomycetes","Xylariales","Microdochiaceae","Microdochium","NA","OTU_900"
"Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Scolecobasidium","constrictum","OTU_1249"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1350"
"Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Sodiomyces","NA","OTU_1905"
"Fungi","Basidiomycota","NA","NA","NA","NA","NA","OTU_1560"
"Fungi","Ascomycota","Sordariomycetes","Amphisphaeriales","Apiosporaceae","Apiospora","NA","OTU_2862"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Pezizellaceae","Microscypha","NA","OTU_627"
"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Acrophialophora","NA","OTU_1226"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Clarireedia","NA","OTU_585"
"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora","tritici-repentis","OTU_1998"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Crocicreas","NA","OTU_972"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_1158"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","NA","OTU_2284"
"Fungi","NA","NA","NA","NA","NA","NA","OTU_863"
"Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Neohelicomyces","NA","OTU_2747"
"Fungi","Ascomycota","NA","NA","NA","NA","NA","OTU_432"
"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","mucida","OTU_2006"
