"ASV","count","ASV_ID","taxonomy1","taxonomy2","taxonomy3","taxonomy4","taxonomy5","taxonomy6","taxonomy7"
"OTU_360_16S",1,"OTU_360","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage","NA"
"OTU_365_16S",1,"OTU_365","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","NA","NA"
"OTU_397_16S",1,"OTU_397","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola","NA"
"OTU_405_16S",1,"OTU_405","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA"
"OTU_413_16S",1,"OTU_413","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","NA"
"OTU_414_16S",1,"OTU_414","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","NA","NA"
"OTU_420_16S",1,"OTU_420","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA"
"OTU_421_16S",1,"OTU_421","Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41","NA"
"OTU_432_16S",1,"OTU_432","Bacteria","Acidobacteriota","Blastocatellia","11-24","NA","NA","NA"
"OTU_436_16S",1,"OTU_436","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","NA","NA"
"OTU_456_16S",1,"OTU_456","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group","NA","NA"
"OTU_462_16S",1,"OTU_462","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavitalea","NA"
"OTU_503_16S",1,"OTU_503","Bacteria","Actinobacteriota","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","NA"
"OTU_542_16S",1,"OTU_542","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","NA"
"OTU_587_16S",1,"OTU_587","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","NA"
"OTU_603_16S",1,"OTU_603","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Skermanella","NA"
"OTU_612_16S",1,"OTU_612","Bacteria","Actinobacteriota","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter","NA"
"OTU_641_16S",1,"OTU_641","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Segetibacter","NA"
"OTU_642_16S",1,"OTU_642","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","NA"
"OTU_735_16S",1,"OTU_735","Bacteria","Chloroflexi","KD4-96","NA","NA","NA","NA"
"OTU_78_16S",1,"OTU_78","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","NA"
"OTU_796_16S",1,"OTU_796","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","NA","NA"
"OTU_880_16S",1,"OTU_880","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","NA","NA","NA"
"OTU_88_16S",1,"OTU_88","Bacteria","Acidobacteriota","Holophagae","Subgroup 7","NA","NA","NA"
"OTU_904_16S",1,"OTU_904","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","NA"
"OTU_905_16S",1,"OTU_905","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","NA","NA"
"OTU_923_16S",1,"OTU_923","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","NA"
"OTU_92_16S",1,"OTU_92","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","NA","NA"
"OTU_933_16S",1,"OTU_933","Bacteria","Actinobacteriota","Thermoleophilia","NA","NA","NA","NA"
"OTU_954_16S",1,"OTU_954","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","NA","NA"
"OTU_957_16S",1,"OTU_957","Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","NA"
"OTU_96_16S",1,"OTU_96","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","NA","NA","NA"
"OTU_98_16S",1,"OTU_98","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517","NA"
